explainer, model, epochs, acc, auc, f1, precision, recall, Attribution AUROC, Attribution F1, Attribution ACC, Attribution Precision, Attribution AUROC Mean, Attribution ACC Mean
IG, CMPNN, 1, 0.7475, 0.84503, 0.772693, 0.707904, 0.850537, 0.948807, 0.271837, 0.827758, 0.416841, 0.902821, 0.823789
CAM, CMPNN, 1, 0.7475, 0.84503, 0.772693, 0.707904, 0.850537, 0.605345, 0.000000, 0.815321, 0.000000, 0.565963, 0.804673
GradCAM, CMPNN, 1, 0.7475, 0.84503, 0.772693, 0.707904, 0.850537, 0.945730, 0.000000, 0.815321, 0.000000, 0.893889, 0.804673
Random, CMPNN, 1, 0.7475, 0.84503, 0.772693, 0.707904, 0.850537, 0.505475, 0.008575, 0.808401, 0.035208, 0.501327, 0.798099
