"",model,explainer,epochs,acc,auc,f1,precision,recall,Attribution AUROC,Attribution F1,Attribution ACC,Attribution Precision,Attribution AUROC Mean,Attribution ACC Mean
0,CMPNN,IG,10,0.495417,0.5,0.0,0.0,0.0,0.525957,0.000000,0.815321,0.000000,0.513584,0.804673
1,CMPNN,CAM,10,0.495417,0.5,0.0,0.0,0.0,0.427996,0.000000,0.815321,0.000000,0.412431,0.804673
2,CMPNN,GradCAM,10,0.495417,0.5,0.0,0.0,0.0,0.545262,0.000000,0.815321,0.000000,0.538309,0.804673
3,CMPNN,Random,10,0.495417,0.5,0.0,0.0,0.0,0.501650,0.008946,0.808745,0.039931,0.500685,0.798442
