Epochs,ACC,AUC,F1,Precision,Recall,AUROC,F1,ACC,Precision,AUROC Mean,ACC Mean
1,0.755833333,0.843098621,0.76541233,0.742812743,0.789430223,0.951875496,0.369897364,0.825041129,0.416480685,0.892244135,0.824941843
2,0.752083333,0.847569136,0.75862069,0.745614035,0.772089182,0.953938614,0,0.815321288,0,0.892794411,0.804672803
3,0.495416667,0.820404701,0,0,0,0.906670695,0,0.815321288,0,0.854321834,0.804672803
4,0.504583333,0.884922969,0.67072833,0.504583333,1,0.851316516,0,0.815321288,0,0.808636252,0.804672803
5,0.495416667,0.820974887,0,0,0,0.67241874,0,0.815321288,0,0.653662015,0.804672803
10,0.495417,0.5,0,0,0,0.525957,0,0.815321,0,0.513584,0.804673
